"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL240034";"";"None";"483.66";"1";"6.17";"6i.3";"CCN(CC)C[C@H]1CC[C@H](c2nc(-c3cccc(OCc4ccccc4)c3)c3c(N)nccn32)CC1";"IC50";"'='";"115.0";"nM";"6.94";"";"";"UO_0000065";"14.35";"0.26";"0.77";"10.10";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL394998";"";"None";"388.45";"0";"4.96";"6c.3";"Nc1nccn2c(C3CCC3)nc(-c3cccc(OCc4ccc(F)cc4)c3)c12";"IC50";"'='";"1230.0";"nM";"5.91";"";"";"UO_0000065";"15.21";"0.28";"0.95";"9.03";"0";"CHEMBL885484";"Inhibition of human recombinant GST-IGF1R activity";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";""
"CHEMBL392106";"";"None";"370.46";"0";"4.83";"6a.4";"Nc1nccn2c(C3CCC3)nc(-c3cccc(OCc4ccccc4)c3)c12";"IC50";"'='";"1160.0";"nM";"5.94";"";"";"UO_0000065";"16.02";"0.29";"1.11";"9.07";"1";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL239360";"";"None";"499.66";"0";"3.01";"6l.8";"CN(C[C@H]1C[C@@H](C2=NC(c3cccc(OCc4ccccc4)c3)C3C(N)=NC=CN23)C1)N1CCNCC1";"IC50";"'='";"758.0";"nM";"6.12";"";"";"UO_0000065";"12.25";"0.23";"3.11";"7.49";"0";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL240613";"";"None";"441.58";"1";"5.05";"6l.7";"CC(C)NC[C@H]1C[C@@H](c2nc(-c3cccc(OCc4ccccc4)c3)c3c(N)nccn32)C1";"IC50";"'='";"376.0";"nM";"6.42";"";"";"UO_0000065";"14.55";"0.27";"1.37";"8.29";"0";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL392284";"";"None";"427.55";"0";"4.79";"6i.1";"NC[C@H]1CC[C@H](c2nc(-c3cccc(OCc4ccccc4)c3)c3c(N)nccn32)CC1";"IC50";"'='";"534.0";"nM";"6.27";"";"";"UO_0000065";"14.67";"0.27";"1.48";"6.86";"0";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL429097";"";"None";"455.56";"0";"4.58";"6f.3";"CNC(=O)[C@H]1CC[C@H](c2nc(-c3cccc(OCc4ccccc4)c3)c3c(N)nccn32)CC1";"IC50";"'='";"1720.0";"nM";"5.76";"";"";"UO_0000065";"12.65";"0.23";"1.18";"6.10";"0";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL398596";"";"None";"406.44";"1";"5.10";"6c.15";"Nc1nccn2c(C3CCC3)nc(-c3cccc(OCc4c(F)cccc4F)c3)c12";"IC50";"'='";"1590.0";"nM";"5.80";"";"";"UO_0000065";"14.27";"0.26";"0.70";"8.86";"0";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL239377";"";"None";"406.44";"1";"5.10";"6c.12";"Nc1nccn2c(C3CCC3)nc(-c3cccc(OCc4cccc(F)c4F)c3)c12";"IC50";"'='";"5690.0";"nM";"5.25";"";"";"UO_0000065";"12.90";"0.24";"0.14";"8.01";"0";"CHEMBL885485";"Inhibition of IGF1-stimulated phosphorylation of human recombinant IGF1R expressed in NIH3T3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139042";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"CHEMBL3307716";"";"";""
"CHEMBL254895";"";"None";"547.50";"1";"3.75";"20h";"Cc1ccc(Sc2cnc(Nc3cccc(Br)n3)s2)cc1C(=O)N1CCN(C(=O)CN)CC1";"IC50";"'>'";"1000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL928874";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140800";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL199723";"";"None";"460.53";"0";"3.23";"9a";"CN1CCN(CCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1";"IC50";"'='";"7000.0";"nM";"5.16";"";"";"UO_0000065";"11.19";"0.21";"1.92";"5.91";"0";"CHEMBL865218";"Inhibitory activity against IGF1R";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149386";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL203354";"";"None";"433.51";"0";"2.86";"9e";"COc1ccc(-c2cnc(O)c(C(=O)Nc3ccc(CN4CCN(C)CC4)cc3)c2)cn1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL865218";"Inhibitory activity against IGF1R";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149386";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";""
"CHEMBL257326";"";"None";"467.96";"0";"3.33";"17n";"Cc1nn(CCNc2cc[nH]c(=O)c2-c2nc3c(C)cc(N4CCOCC4)cc3[nH]2)cc1Cl";"IC50";"'='";"96.0";"nM";"7.02";"";"";"UO_0000065";"15.00";"0.29";"3.69";"6.76";"0";"CHEMBL928515";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL257116";"";"None";"528.41";"1";"2.63";"17i";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4ncc(Br)c4CO)cc[nH]c3=O)nc12";"IC50";"'='";"470.0";"nM";"6.33";"";"";"UO_0000065";"11.98";"0.25";"3.70";"5.10";"0";"CHEMBL928515";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL256703";"";"None";"433.52";"0";"2.68";"17a";"Cc1cnn(CCNc2cc[nH]c(=O)c2-c2nc3c(C)cc(N4CCOCC4)cc3[nH]2)c1";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"16.05";"0.30";"4.28";"6.70";"1";"CHEMBL928515";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL458864";"";"None";"515.58";"1";"2.79";"36";"COc1cc2c(cc1Nc1nc(Nc3cccnc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"15.02";"0.28";"4.95";"5.02";"0";"CHEMBL1025723";"Inhibition of IGF1R phosphorylation by cellular assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154545";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL256702";"";"None";"502.41";"1";"3.76";"16n";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCc4nc(Cl)n(C)c4Cl)cc[nH]c3=O)nc12";"IC50";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"13.53";"0.27";"3.04";"6.54";"1";"CHEMBL928515";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL256277";"";"None";"461.57";"0";"3.50";"16h";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCc4cn(C(C)C)cn4)cc[nH]c3=O)nc12";"IC50";"'='";"360.0";"nM";"6.44";"";"";"UO_0000065";"13.96";"0.26";"2.94";"6.20";"1";"CHEMBL928515";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL403218";"";"None";"477.57";"0";"2.56";"16g";"COCCn1cnc(CCNc2cc[nH]c(=O)c2-c2nc3c(C)cc(N4CCOCC4)cc3[nH]2)c1";"IC50";"'='";"550.0";"nM";"6.26";"";"";"UO_0000065";"13.11";"0.24";"3.70";"5.54";"1";"CHEMBL928515";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL402625";"";"None";"467.96";"0";"3.33";"17o";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4ncc(Cl)c4C)cc[nH]c3=O)nc12";"IC50";"'='";"777.0";"nM";"6.11";"";"";"UO_0000065";"13.06";"0.25";"2.78";"5.88";"0";"CHEMBL928516";"Inhibition of IGF1R expressed in SAL cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SAL";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL402623";"";"None";"512.41";"1";"3.44";"17m";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4ncc(Br)c4C)cc[nH]c3=O)nc12";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"12.01";"0.25";"2.71";"5.93";"0";"CHEMBL928516";"Inhibition of IGF1R expressed in SAL cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SAL";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL404308";"";"None";"444.50";"0";"2.24";"17b";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCCn4cc(C#N)cn4)cc[nH]c3=O)nc12";"IC50";"'='";"821.0";"nM";"6.09";"";"";"UO_0000065";"13.69";"0.25";"3.85";"4.77";"0";"CHEMBL928516";"Inhibition of IGF1R expressed in SAL cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"SAL";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141515";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL253881";"";"None";"535.56";"1";"3.61";"10j";"NC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1";"IC50";"'>'";"5000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL928646";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141528";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";""
"CHEMBL464551";"";"None";"534.55";"1";"3.07";"25";"COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)OC)CC2";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"13.66";"0.26";"4.23";"4.84";"0";"CHEMBL1033172";"Inhibition of IGF-1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154536";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL507625";"";"None";"518.60";"1";"4.22";"1";"COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1";"IC50";"'='";"117.0";"nM";"6.93";"";"";"UO_0000065";"13.37";"0.25";"2.71";"5.57";"1";"CHEMBL1033175";"Inhibition of phospho IGFR1 by cellular assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154536";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL489083";"";"None";"441.52";"0";"3.63";"11a";"N=C(N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"12.23";"0.23";"1.77";"5.52";"0";"CHEMBL962247";"Inhibition of human IGF1R";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151764";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL515846";"";"None";"505.65";"2";"5.20";"25";"CCCN1CCC(c2ccc(Nc3nc(Nc4ccsc4C(N)=O)c4cc[nH]c4n3)c(OC)c2)CC1";"IC50";"'='";"1.3";"nM";"8.89";"";"";"UO_0000065";"17.57";"0.34";"3.69";"7.33";"0";"CHEMBL1025722";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154545";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL458415";"GSK-2186269A";"None";"483.58";"0";"3.86";"33";"COc1cc2c(cc1Nc1nc(N3CCc4ccccc43)c3cc[nH]c3n1)N(C(=O)CN(C)C)CC2";"IC50";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"18.81";"0.35";"5.24";"10.15";"0";"CHEMBL1025722";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154545";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
